hostname,protocol,port,username,hostname,folder
135.189.119.153,SSH2,22,admin,at1ga01ibc,Prod IBCs
135.189.119.154,SSH2,22,admin,at1ga02ibc,Prod IBCs
135.189.119.155,SSH2,22,admin,at1ga03ibc,Prod IBCs
135.189.119.156,SSH2,22,admin,at1ga04ibc,Prod IBCs
135.189.119.157,SSH2,22,admin,at1ga05ibc,Prod IBCs
135.189.119.158,SSH2,22,admin,at1ga06ibc,Prod IBCs
135.189.119.159,SSH2,22,admin,at1ga07ibc,Prod IBCs
135.189.119.160,SSH2,22,admin,at1ga08ibc,Prod IBCs
135.189.159.17,SSH2,22,admin,at1ga09ibc,Prod IBCs
135.189.159.18,SSH2,22,admin,at1ga10ibc,Prod IBCs
135.189.92.142,SSH2,22,admin,at1ga11ibc,Prod IBCs
135.189.92.143,SSH2,22,admin,at1ga12ibc,Prod IBCs
135.189.92.166,SSH2,22,admin,at1ga15ibc,Prod IBCs
135.189.92.167,SSH2,22,admin,at1ga16ibc,Prod IBCs
135.189.92.168,SSH2,22,admin,at1ga17ibc,Prod IBCs
135.189.92.169,SSH2,22,admin,at1ga18ibc,Prod IBCs
135.189.92.170,SSH2,22,admin,ch1il01ibc,Prod IBCs
135.189.92.171,SSH2,22,admin,ch1il02ibc,Prod IBCs
135.189.92.172,SSH2,22,admin,ch1il03ibc,Prod IBCs
135.189.92.173,SSH2,22,admin,ch1il04ibc,Prod IBCs
135.190.170.100,SSH2,22,admin,ch1il05ibc,Prod IBCs
135.190.170.101,SSH2,22,admin,ch1il06ibc,Prod IBCs
135.190.170.132,SSH2,22,admin,ch1il07ibc,Prod IBCs
135.190.170.133,SSH2,22,admin,ch1il08ibc,Prod IBCs
135.190.170.134,SSH2,22,admin,ch1il09ibc,Prod IBCs
135.190.170.135,SSH2,22,admin,ch1il10ibc,Prod IBCs
135.190.170.136,SSH2,22,admin,ch1il15ibc,Prod IBCs
135.190.170.137,SSH2,22,admin,ch1il16ibc,Prod IBCs
135.190.170.138,SSH2,22,admin,cl1oh01ibc,Prod IBCs
135.190.170.139,SSH2,22,admin,cl1oh02ibc,Prod IBCs
135.190.170.140,SSH2,22,admin,cl1oh03ibc,Prod IBCs
135.190.170.141,SSH2,22,admin,cl1oh04ibc,Prod IBCs
135.190.170.18,SSH2,22,admin,cl1oh05ibc,Prod IBCs
135.190.170.19,SSH2,22,admin,cl1oh06ibc,Prod IBCs
135.190.170.197,SSH2,22,admin,cl1oh07ibc,Prod IBCs
135.190.170.198,SSH2,22,admin,cl1oh08ibc,Prod IBCs
135.190.170.199,SSH2,22,admin,cl1oh09ibc,Prod IBCs
135.190.170.20,SSH2,22,admin,cl1oh10ibc,Prod IBCs
135.190.170.200,SSH2,22,admin,cl1oh15ibc,Prod IBCs
135.190.170.201,SSH2,22,admin,cl1oh16ibc,Prod IBCs
135.190.170.202,SSH2,22,admin,da1tx01ibc,Prod IBCs
135.190.170.21,SSH2,22,admin,da1tx02ibc,Prod IBCs
135.190.170.24,SSH2,22,admin,da1tx03ibc,Prod IBCs
135.190.170.25,SSH2,22,admin,da1tx04ibc,Prod IBCs
135.190.170.26,SSH2,22,admin,da1tx05ibc,Prod IBCs
135.190.170.27,SSH2,22,admin,da1tx06ibc,Prod IBCs
135.190.170.31,SSH2,22,admin,da1tx07ibc,Prod IBCs
135.190.170.32,SSH2,22,admin,da1tx08ibc,Prod IBCs
135.190.170.96,SSH2,22,admin,da1tx09ibc,Prod IBCs
135.190.170.97,SSH2,22,admin,da1tx10ibc,Prod IBCs
135.190.170.98,SSH2,22,admin,da1tx11ibc,Prod IBCs
135.190.170.99,SSH2,22,admin,da1tx12ibc,Prod IBCs
135.191.113.51,SSH2,22,admin,da1tx13ibc,Prod IBCs
135.191.113.52,SSH2,22,admin,da1tx15ibc,Prod IBCs
135.191.197.10,SSH2,22,admin,da1tx16ibc,Prod IBCs
135.191.197.11,SSH2,22,admin,da1tx17ibc,Prod IBCs
135.191.197.12,SSH2,22,admin,da1tx18ibc,Prod IBCs
135.191.197.13,SSH2,22,admin,ho1tx01ibc,Prod IBCs
135.191.197.14,SSH2,22,admin,ho1tx02ibc,Prod IBCs
135.191.197.140,SSH2,22,admin,ho1tx03ibc,Prod IBCs
135.191.197.141,SSH2,22,admin,ho1tx04ibc,Prod IBCs
135.191.197.142,SSH2,22,admin,ho1tx05ibc,Prod IBCs
135.191.197.143,SSH2,22,admin,ho1tx06ibc,Prod IBCs
135.191.197.144,SSH2,22,admin,ho1tx07ibc,Prod IBCs
135.191.197.145,SSH2,22,admin,ho1tx08ibc,Prod IBCs
135.191.197.146,SSH2,22,admin,ho1tx09ibc,Prod IBCs
135.191.197.147,SSH2,22,admin,ho1tx10ibc,Prod IBCs
135.191.197.148,SSH2,22,admin,ho1tx11ibc,Prod IBCs
135.191.197.149,SSH2,22,admin,ho1tx12ibc,Prod IBCs
135.191.197.15,SSH2,22,admin,ho1tx13ibc,Prod IBCs
135.191.197.150,SSH2,22,admin,ho1tx14ibc,Prod IBCs
135.191.197.151,SSH2,22,admin,ho1tx15ibc,Prod IBCs
135.191.197.16,SSH2,22,admin,ho1tx16ibc,Prod IBCs
135.191.197.174,SSH2,22,admin,ho1tx17ibc,Prod IBCs
135.191.197.175,SSH2,22,admin,ho1tx18ibc,Prod IBCs
135.191.197.176,SSH2,22,admin,nw1ny01ibc,Prod IBCs
135.191.197.177,SSH2,22,admin,nw1ny02ibc,Prod IBCs
135.191.197.18,SSH2,22,admin,nw1ny03ibc,Prod IBCs
135.191.197.19,SSH2,22,admin,nw1ny04ibc,Prod IBCs
135.191.197.20,SSH2,22,admin,nw1ny05ibc,Prod IBCs
135.191.197.21,SSH2,22,admin,nw1ny06ibc,Prod IBCs
135.191.197.66,SSH2,22,admin,nw1ny07ibc,Prod IBCs
135.191.197.67,SSH2,22,admin,nw1ny08ibc,Prod IBCs
135.191.197.68,SSH2,22,admin,nw1ny09ibc,Prod IBCs
135.191.197.69,SSH2,22,admin,nw1ny10ibc,Prod IBCs
135.191.197.74,SSH2,22,admin,ow1fl01ibc,Prod IBCs
135.191.197.75,SSH2,22,admin,ow1fl02ibc,Prod IBCs
135.192.180.23,SSH2,22,admin,ow1fl03ibc,Prod IBCs
135.192.180.24,SSH2,22,admin,ow1fl04ibc,Prod IBCs
135.192.180.29,SSH2,22,admin,ow1fl05ibc,Prod IBCs
135.192.180.30,SSH2,22,admin,ow1fl06ibc,Prod IBCs
135.192.180.31,SSH2,22,admin,ow1fl07ibc,Prod IBCs
135.192.180.32,SSH2,22,admin,ow1fl08ibc,Prod IBCs
135.192.180.36,SSH2,22,admin,ow1fl09ibc,Prod IBCs
135.192.180.37,SSH2,22,admin,ow1fl10ibc,Prod IBCs
135.192.180.78,SSH2,22,admin,ow1fl11ibc,Prod IBCs
135.192.180.79,SSH2,22,admin,ow1fl12ibc,Prod IBCs
135.192.180.80,SSH2,22,admin,ow1fl13ibc,Prod IBCs
135.192.180.81,SSH2,22,admin,ow1fl14ibc,Prod IBCs
135.192.188.23,SSH2,22,admin,ow1fl15ibc,Prod IBCs
135.192.188.24,SSH2,22,admin,ow1fl16ibc,Prod IBCs
135.192.188.29,SSH2,22,admin,se1wa01ibc,Prod IBCs
135.192.188.30,SSH2,22,admin,se1wa02ibc,Prod IBCs
135.192.188.31,SSH2,22,admin,se1wa03ibc,Prod IBCs
135.192.188.32,SSH2,22,admin,se1wa04ibc,Prod IBCs
135.192.188.36,SSH2,22,admin,se1wa05ibc,Prod IBCs
135.192.188.37,SSH2,22,admin,se1wa06ibc,Prod IBCs
135.192.188.75,SSH2,22,admin,se1wa07ibc,Prod IBCs
135.192.188.76,SSH2,22,admin,se1wa08ibc,Prod IBCs
135.192.188.77,SSH2,22,admin,se1wa09ibc,Prod IBCs
135.192.188.78,SSH2,22,admin,se1wa10ibc,Prod IBCs
135.193.139.137,SSH2,22,admin,se1wa11ibc,Prod IBCs
135.193.139.138,SSH2,22,admin,se1wa12ibc,Prod IBCs
135.193.139.139,SSH2,22,admin,so1ca01ibc,Prod IBCs
135.193.139.140,SSH2,22,admin,so1ca02ibc,Prod IBCs
135.193.139.175,SSH2,22,admin,so1ca03ibc,Prod IBCs
135.193.139.176,SSH2,22,admin,so1ca04ibc,Prod IBCs
135.193.139.177,SSH2,22,admin,so1ca05ibc,Prod IBCs
135.193.139.178,SSH2,22,admin,so1ca06ibc,Prod IBCs
135.193.139.179,SSH2,22,admin,so1ca07ibc,Prod IBCs
135.193.139.180,SSH2,22,admin,so1ca08ibc,Prod IBCs
135.193.139.181,SSH2,22,admin,so1ca09ibc,Prod IBCs
135.193.139.182,SSH2,22,admin,so1ca10ibc,Prod IBCs
135.193.182.29,SSH2,22,admin,so1ca11ibc,Prod IBCs
135.193.182.30,SSH2,22,admin,so1ca12ibc,Prod IBCs
135.193.182.34,SSH2,22,admin,wa1dc01ibc,Prod IBCs
135.193.182.35,SSH2,22,admin,wa1dc02ibc,Prod IBCs
135.193.182.52,SSH2,22,admin,wa1dc03ibc,Prod IBCs
135.193.182.53,SSH2,22,admin,wa1dc04ibc,Prod IBCs
135.193.182.54,SSH2,22,admin,wa1dc05ibc,Prod IBCs
135.193.182.55,SSH2,22,admin,wa1dc06ibc,Prod IBCs
135.193.182.56,SSH2,22,admin,wa1dc07ibc,Prod IBCs
135.193.182.57,SSH2,22,admin,wa1dc08ibc,Prod IBCs
135.193.182.58,SSH2,22,admin,wa1dc09ibc,Prod IBCs
135.193.182.59,SSH2,22,admin,wa1dc10ibc,Prod IBCs
135.190.164.244,SSH2,22,admin,or0fl01zbc,Prod ZBCs
135.190.164.245,SSH2,22,admin,or0fl02zbc,Prod ZBCs
135.190.170.35,SSH2,22,admin,aa0ga01zbc,Prod ZBCs
135.190.170.36,SSH2,22,admin,aa0ga02zbc,Prod ZBCs
135.192.169.149,SSH2,22,admin,cl0oh01zbc,Prod ZBCs
135.192.169.150,SSH2,22,admin,cl0oh02zbc,Prod ZBCs
135.192.180.42,SSH2,22,admin,ch0il01zbc,Prod ZBCs
135.192.180.43,SSH2,22,admin,ch0il02zbc,Prod ZBCs
135.191.197.26,SSH2,22,admin,da0tx01ebc,Prod EBCs
135.191.197.27,SSH2,22,admin,da0tx02ebc,Prod EBCs
135.192.180.40,SSH2,22,admin,ch0il01ebc,Prod EBCs
135.192.180.41,SSH2,22,admin,ch0il02ebc,Prod EBCs
135.190.170.33,SSH2,22,admin,aa0ga01stc,Prod STCs
135.190.170.34,SSH2,22,admin,aa0ga02stc,Prod STCs
135.192.180.38,SSH2,22,admin,ch0il01stc,Prod STCs
135.192.180.39,SSH2,22,admin,ch0il02stc,Prod STCs
135.192.188.38,SSH2,22,admin,cl0oh01stc,Prod STCs
135.192.188.39,SSH2,22,admin,cl0oh02stc,Prod STCs
135.191.197.24,SSH2,22,admin,da0tx01stc,Prod STCs
135.191.197.25,SSH2,22,admin,da0tx02stc,Prod STCs
135.191.197.154,SSH2,22,admin,hs0tx01stc,Prod STCs
135.191.197.155,SSH2,22,admin,hs0tx02stc,Prod STCs
135.189.92.146,SSH2,22,admin,nw0ny01stc,Prod STCs
135.189.92.147,SSH2,22,admin,nw0ny02stc,Prod STCs
135.193.184.34,SSH2,22,admin,oa0ca01stc,Prod STCs
135.193.184.35,SSH2,22,admin,oa0ca02stc,Prod STCs
135.190.170.145,SSH2,22,admin,or0fl01stc,Prod STCs
135.190.170.146,SSH2,22,admin,or0fl02stc,Prod STCs
135.193.139.141,SSH2,22,admin,se0wa01stc,Prod STCs
135.193.139.142,SSH2,22,admin,se0wa02stc,Prod STCs
135.193.182.36,SSH2,22,admin,so0ca01stc,Prod STCs
135.193.182.37,SSH2,22,admin,so0ca02stc,Prod STCs
135.189.159.19,SSH2,22,admin,wa0dc01stc,Prod STCs
135.189.159.20,SSH2,22,admin,wa0dc02stc,Prod STCs
