hostname,session_name,folder
135.189.92.168,nw1ny03ibc,Prod IBCs
135.189.92.169,nw1ny04ibc,Prod IBCs
135.189.92.170,nw1ny05ibc,Prod IBCs
135.189.92.171,nw1ny06ibc,Prod IBCs
135.189.92.172,nw1ny07ibc,Prod IBCs
135.189.92.173,nw1ny08ibc,Prod IBCs
135.190.164.244,or0fl01zbc,Prod IBCs
135.190.164.245,or0fl02zbc,Prod IBCs
135.190.170.100,at1ga05ibc,Prod IBCs
135.190.170.101,at1ga06ibc,Prod IBCs
135.190.170.132,ow1fl15ibc,Prod IBCs
135.190.170.133,ow1fl16ibc,Prod IBCs
135.190.170.134,ow1fl13ibc,Prod IBCs
135.190.170.135,ow1fl14ibc,Prod IBCs
135.190.170.136,ow1fl11ibc,Prod IBCs
135.190.170.137,ow1fl12ibc,Prod IBCs
135.190.170.138,ow1fl09ibc,Prod IBCs
135.190.170.139,ow1fl10ibc,Prod IBCs
135.190.170.140,ow1fl07ibc,Prod IBCs
135.190.170.141,ow1fl08ibc,Prod IBCs
135.190.170.18,at1ga17ibc,Prod IBCs
135.190.170.19,at1ga18ibc,Prod IBCs
135.190.170.197,ow1fl01ibc,Prod IBCs
135.190.170.198,ow1fl02ibc,Prod IBCs
135.190.170.199,ow1fl03ibc,Prod IBCs
135.190.170.20,at1ga15ibc,Prod IBCs
135.190.170.200,ow1fl04ibc,Prod IBCs
135.190.170.201,ow1fl05ibc,Prod IBCs
135.190.170.202,ow1fl06ibc,Prod IBCs
135.190.170.21,at1ga16ibc,Prod IBCs
135.190.170.24,at1ga11ibc,Prod IBCs
135.190.170.25,at1ga12ibc,Prod IBCs
135.190.170.26,at1ga09ibc,Prod IBCs
135.190.170.27,at1ga10ibc,Prod IBCs
135.190.170.31,at1ga07ibc,Prod IBCs
135.190.170.32,at1ga08ibc,Prod IBCs
135.190.170.35,aa0ga01zbc,Prod IBCs
135.190.170.36,aa0ga02zbc,Prod IBCs
135.190.170.96,at1ga01ibc,Prod IBCs
135.190.170.97,at1ga02ibc,Prod IBCs
135.190.170.98,at1ga03ibc,Prod IBCs
135.190.170.99,at1ga04ibc,Prod IBCs
135.191.113.51,ho1tx05ibc,Prod IBCs
135.191.113.52,ho1tx06ibc,Prod IBCs
135.191.197.10,da1tx17ibc,Prod IBCs
135.191.197.11,da1tx18ibc,Prod IBCs
135.191.197.12,da1tx15ibc,Prod IBCs
135.191.197.13,da1tx16ibc,Prod IBCs
135.191.197.14,da1tx09ibc,Prod IBCs
135.191.197.140,ho1tx17ibc,Prod IBCs
135.191.197.141,ho1tx18ibc,Prod IBCs
135.191.197.142,ho1tx15ibc,Prod IBCs
135.191.197.143,ho1tx16ibc,Prod IBCs
135.191.197.144,ho1tx13ibc,Prod IBCs
135.191.197.145,ho1tx14ibc,Prod IBCs
135.191.197.146,ho1tx11ibc,Prod IBCs
135.191.197.147,ho1tx12ibc,Prod IBCs
135.191.197.148,ho1tx09ibc,Prod IBCs
135.191.197.149,ho1tx10ibc,Prod IBCs
135.191.197.15,da1tx10ibc,Prod IBCs
135.191.197.150,ho1tx07ibc,Prod IBCs
135.191.197.151,ho1tx08ibc,Prod IBCs
135.191.197.16,da1tx13ibc,Prod IBCs
135.191.197.174,ho1tx01ibc,Prod IBCs
135.191.197.175,ho1tx02ibc,Prod IBCs
135.191.197.176,ho1tx03ibc,Prod IBCs
135.191.197.177,ho1tx04ibc,Prod IBCs
135.191.197.18,da1tx11ibc,Prod IBCs
135.191.197.19,da1tx12ibc,Prod IBCs
135.191.197.20,da1tx07ibc,Prod IBCs
135.191.197.21,da1tx08ibc,Prod IBCs
135.191.197.26,da0tx01ebc,Prod IBCs
135.191.197.27,da0tx02ebc,Prod IBCs
135.191.197.66,da1tx01ibc,Prod IBCs
135.191.197.67,da1tx02ibc,Prod IBCs
135.191.197.68,da1tx03ibc,Prod IBCs
135.191.197.69,da1tx04ibc,Prod IBCs
135.191.197.74,da1tx05ibc,Prod IBCs
135.191.197.75,da1tx06ibc,Prod IBCs
135.192.169.149,cl0oh01zbc,Prod IBCs
135.192.169.150,cl0oh02zbc,Prod IBCs
135.192.180.23,ch1il15ibc,Prod IBCs
135.192.180.24,ch1il16ibc,Prod IBCs
135.192.180.29,ch1il09ibc,Prod IBCs
135.192.180.30,ch1il10ibc,Prod IBCs
135.192.180.31,ch1il07ibc,Prod IBCs
135.192.180.32,ch1il08ibc,Prod IBCs
135.192.180.36,ch1il05ibc,Prod IBCs
135.192.180.37,ch1il06ibc,Prod IBCs
135.192.180.40,ch0il01ebc,Prod IBCs
135.192.180.41,ch0il02ebc,Prod IBCs
135.192.180.42,ch0il01zbc,Prod IBCs
135.192.180.43,ch0il02zbc,Prod IBCs
135.192.180.78,ch1il01ibc,Prod IBCs
135.192.180.79,ch1il02ibc,Prod IBCs
135.192.180.80,ch1il03ibc,Prod IBCs
135.192.180.81,ch1il04ibc,Prod IBCs
135.192.188.23,cl1oh15ibc,Prod IBCs
135.192.188.24,cl1oh16ibc,Prod IBCs
135.192.188.29,cl1oh09ibc,Prod IBCs
135.192.188.30,cl1oh10ibc,Prod IBCs
135.192.188.31,cl1oh07ibc,Prod IBCs
135.192.188.32,cl1oh08ibc,Prod IBCs
135.192.188.36,cl1oh05ibc,Prod IBCs
135.192.188.37,cl1oh06ibc,Prod IBCs
135.192.188.75,cl1oh01ibc,Prod IBCs
135.192.188.76,cl1oh02ibc,Prod IBCs
135.192.188.77,cl1oh03ibc,Prod IBCs
135.192.188.78,cl1oh04ibc,Prod IBCs
135.193.139.137,se1wa11ibc,Prod IBCs
135.193.139.138,se1wa12ibc,Prod IBCs
135.193.139.139,se1wa09ibc,Prod IBCs
135.193.139.140,se1wa10ibc,Prod IBCs
135.193.139.175,se1wa01ibc,Prod IBCs
135.193.139.176,se1wa02ibc,Prod IBCs
135.193.139.177,se1wa03ibc,Prod IBCs
